,종목명,가격정보,거래량
0,KODEX 200선물인버스2X,"3,185","163,796,244"
1,KODEX 코스닥150선물인버스,"5,045","35,692,663"
2,삼성 인버스 2X WTI원유 선물 ETN,135,"24,924,620"
3,KODEX 레버리지,"14,625","22,296,428"
4,신한 인버스 2X 천연가스 선물 ETN,155,"21,924,387"
5,KODEX 인버스,"4,930","21,818,254"
6,금양,"14,850","19,208,387"
7,KODEX 코스닥150레버리지,"8,245","14,286,208"
8,TRUE 인버스 2X 천연가스 선물 ETN(H),275,"9,003,755"
9,대한전선,"1,705","8,273,081"
10,KODEX 코스닥150,"10,920","7,478,040"
11,삼성전자,"57,100","7,439,533"
12,노루홀딩스,"15,250","6,563,742"
13,조일알미늄,"2,370","6,533,281"
14,이엔플러스,"3,390","5,980,390"
15,쌍방울,494,"5,818,881"
16,제이준코스메틱,848,"5,787,618"
17,KODEX 200,"31,325","5,234,497"
18,신성이엔지,"2,465","5,142,821"
19,한화솔루션,"54,300","5,044,910"
20,화승알앤에이,"4,575","4,840,025"
21,태경비케이,"4,725","4,671,290"
22,TIGER 200선물인버스2X,"3,335","4,661,459"
23,동양철관,"1,150","4,546,577"
24,신한 인버스 2X 천연가스 선물 ETN(H),90,"4,284,701"
25,두산에너빌리티,"19,100","4,277,877"
26,TIGER 차이나전기차SOLACTIVE,"14,745","4,264,864"
27,세원이앤씨,742,"4,039,869"
28,신한 인버스 2X WTI원유 선물 ETN(H),120,"3,905,321"
29,방림,"4,510","3,691,937"
30,삼성중공업,"5,850","3,533,815"
31,현대로템,"29,900","3,490,975"
32,인팩,"8,140","3,471,159"
33,동양피스톤,"5,120","3,260,651"
34,SH에너지화학,"1,175","3,237,399"
35,인디에프,875,"3,170,784"
36,명신산업,"23,500","2,888,831"
37,HMM,"20,400","2,615,243"
38,대우건설,"4,835","2,254,256"
39,KODEX 미국달러선물인버스2X,"6,515","2,103,214"
40,TYM,"2,395","2,062,352"
41,GS글로벌,"3,565","2,024,909"
42,팬오션,"4,935","2,016,053"
43,TIGER 원유선물인버스(H),"3,220","1,891,973"
44,플레이그램,"1,210","1,739,812"
45,LG디스플레이,"16,250","1,684,904"
46,하이스틸,"4,190","1,597,728"
47,세아특수강,"22,300","1,566,301"
48,평화산업,"1,620","1,508,233"
49,KG스틸,"10,050","1,506,839"
50,대성산업,"5,080","1,439,247"
51,현대두산인프라코어,"5,520","1,421,685"
52,코오롱글로벌,"18,900","1,415,883"
53,대우조선해양,"19,350","1,403,548"
54,한화에어로스페이스,"85,400","1,381,837"
55,SK하이닉스,"91,800","1,377,142"
56,코스모화학,"24,000","1,375,175"
57,이수화학,"25,800","1,352,166"
58,금호타이어,"3,990","1,315,543"
59,다스코,"6,320","1,311,358"
60,삼호개발,"4,425","1,307,081"
61,TIGER 인버스,"5,495","1,276,045"
62,넥센타이어,"8,020","1,259,648"
63,유니온머티리얼,"3,065","1,213,174"
64,우리금융지주,"11,550","1,209,154"
65,한국석유,"12,500","1,189,572"
66,노루페인트,"9,650","1,180,357"
67,카카오뱅크,"25,600","1,118,548"
68,한창,"1,020","1,081,058"
69,코오롱플라스틱,"11,850","1,058,850"
70,화신,"11,750","1,042,093"
71,KODEX WTI원유선물인버스(H),"4,635","1,039,881"
72,한화생명,"2,355","1,038,962"
73,사조동아원,"1,315","1,037,819"
74,에이프로젠,"1,375","1,036,169"
75,부산주공,796,"1,013,508"
76,KODEX 단기채권PLUS,"104,060","1,011,668"
77,후성,"15,550","999,490"
78,SJM,"3,780","999,315"
79,극동유화,"3,870","974,819"
80,한국항공우주,"62,000","970,293"
81,서울식품,246,"968,997"
82,도화엔지니어링,"10,450","949,683"
83,LG유플러스,"11,150","926,065"
84,세아베스틸지주,"22,050","899,399"
85,삼부토건,"1,855","895,309"
86,성안,"1,025","839,186"
87,KODEX 2차전지산업,"19,400","829,922"
88,신한 레버리지 WTI원유 선물 ETN(H),"1,320","826,773"
89,금호에이치티,"1,040","823,340"
90,남해화학,"10,100","822,358"
91,포스코인터내셔널,"26,800","816,405"
92,KEC,"2,675","800,916"
93,현대에너지솔루션,"69,300","799,328"
94,삼성 인버스 2X 천연가스 선물 ETN C,"12,890","791,570"
95,한미글로벌,"23,750","790,402"
96,HSD엔진,"8,680","781,106"
97,HANARO 단기채권액티브,"100,960","753,741"
98,삼성엔지니어링,"23,150","735,687"
99,카카오,"69,700","732,509"
